name,url,country
"Rangina Hamidi","https://en.wikipedia.org/wiki/Rangina_Hamidi","Afghanistan"
"Sayed Zafar Hashemi","https://en.wikipedia.org/wiki/Sayed_Zafar_Hashemi","Afghanistan"
"Qutbuddin Hilal","https://en.wikipedia.org/wiki/Qutbuddin_Hilal","Afghanistan"
"Mahboba Hoqomal","https://en.wikipedia.org/wiki/Mahboba_Hoqomal","Afghanistan"
"Musa Hotak","https://en.wikipedia.org/wiki/Musa_Hotak","Afghanistan"
"Mirza Muhammad Ismail","https://en.wikipedia.org/wiki/Mirza_Muhammad_Ismail","Afghanistan"
"Sayed Jalal","https://en.wikipedia.org/wiki/Sayed_Jalal","Afghanistan"
"Said Tayeb Jawad","https://en.wikipedia.org/wiki/Said_Tayeb_Jawad","Afghanistan"
"Sayed Jalal Karim","https://en.wikipedia.org/wiki/Sayed_Jalal_Karim","Afghanistan"
"Hafizullah Shabaz Khail","https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail","Afghanistan"
"Masoud Khalili","https://en.wikipedia.org/wiki/Masoud_Khalili","Afghanistan"
"Mohammad Khan (athlete)","https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete)","Afghanistan"
"Samoud Khan","https://en.wikipedia.org/wiki/Samoud_Khan","Afghanistan"
"Baran Khan Kudezai","https://en.wikipedia.org/wiki/Baran_Khan_Kudezai","Afghanistan"
"Azizullah Lodin","https://en.wikipedia.org/wiki/Azizullah_Lodin","Afghanistan"
"Razaq Mamoon","https://en.wikipedia.org/wiki/Razaq_Mamoon","Afghanistan"
"Fazel Ahmed Manawi","https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi","Afghanistan"
"Moeen Marastial","https://en.wikipedia.org/wiki/Moeen_Marastial","Afghanistan"
"Ahmad Wali Massoud","https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud","Afghanistan"
"Mohammad Daud Miraki","https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki","Afghanistan"
"Abdul Sattar Mirzakwal","https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal","Afghanistan"
"Abdul Karim Misaq","https://en.wikipedia.org/wiki/Abdul_Karim_Misaq","Afghanistan"
"Ali Mohammad (politician)","https://en.wikipedia.org/wiki/Ali_Mohammad_(politician)","Afghanistan"
"Nasruddin Mohseni","https://en.wikipedia.org/wiki/Nasruddin_Mohseni","Afghanistan"
"Davood Moradian","https://en.wikipedia.org/wiki/Davood_Moradian","Afghanistan"
"Zalmai Mujadidi","https://en.wikipedia.org/wiki/Zalmai_Mujadidi","Afghanistan"
"Sardar Mohammad Nadir Naeem","https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem","Afghanistan"
"Daoud Naji","https://en.wikipedia.org/wiki/Daoud_Naji","Afghanistan"
"Gholam Rabani Nasher","https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher","Afghanistan"
"Ghulam Faroq Nijrabi","https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi","Afghanistan"
"Zabih-U-llah Ghazi Noristani","https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani","Afghanistan"
"Mohammed Tahir Omar","https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar","Afghanistan"
"Mohammed Qalamuddin","https://en.wikipedia.org/wiki/Mohammed_Qalamuddin","Afghanistan"
"Ghulam Mohammad Rigi","https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi","Afghanistan"
"Ghulam Hassan Safi","https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi","Afghanistan"
"Hanifa Safi","https://en.wikipedia.org/wiki/Hanifa_Safi","Afghanistan"
"Mohammed Zia Salehi","https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi","Afghanistan"
"Abdul Majid Samim","https://en.wikipedia.org/wiki/Abdul_Majid_Samim","Afghanistan"
"Saber Sangar","https://en.wikipedia.org/wiki/Saber_Sangar","Afghanistan"
"Sayed Nasim Mihanparast","https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast","Afghanistan"
"Suhail Shaheen","https://en.wikipedia.org/wiki/Suhail_Shaheen","Afghanistan"
"Fazal Hadi Shinwari","https://en.wikipedia.org/wiki/Fazal_Hadi_Shinwari","Afghanistan"
"Baktash Siawash","https://en.wikipedia.org/wiki/Baktash_Siawash","Afghanistan"
"Hasan Ali Sultani","https://en.wikipedia.org/wiki/Hasan_Ali_Sultani","Afghanistan"
"Mohammad Hashem Taufiqui","https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui","Afghanistan"
"Pacha Gul Wafadar","https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar","Afghanistan"
"Wahidullah Waissi","https://en.wikipedia.org/wiki/Wahidullah_Waissi","Afghanistan"
"Ahmadullah Wasiq","https://en.wikipedia.org/wiki/Ahmadullah_Wasiq","Afghanistan"
"Gul Ahmmad Yama","https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama","Afghanistan"
"Abdul Salam Zaeef","https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef","Afghanistan"
"Abdul Zahir (Konar Education Minister)","https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister)","Afghanistan"
"Mohammed Zaman","https://en.wikipedia.org/wiki/Mohammed_Zaman","Afghanistan"
"Ziauddin (Afghan militia leader)","https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader)","Afghanistan"
"Qari Ziauddin","https://en.wikipedia.org/wiki/Qari_Ziauddin","Afghanistan"
"Abdul Ghafor Zori","https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori","Afghanistan"
"Ali Pasha of Gusinje","https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje","Albania"
"Ylli Asllani","https://en.wikipedia.org/wiki/Ylli_Asllani","Albania"
"Azis Tahir Ajdonati","https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati","Albania"
"Bislim Bajgora","https://en.wikipedia.org/wiki/Bislim_Bajgora","Albania"
"Kastriot Berissa","https://en.wikipedia.org/wiki/Kastriot_Berissa","Albania"
"Bardhok Biba","https://en.wikipedia.org/wiki/Bardhok_Biba","Albania"
"Kostandin Boshnjaku","https://en.wikipedia.org/wiki/Kostandin_Boshnjaku","Albania"
"Spartak Braho","https://en.wikipedia.org/wiki/Spartak_Braho","Albania"
"Safet Butka","https://en.wikipedia.org/wiki/Safet_Butka","Albania"
"Uran Butka","https://en.wikipedia.org/wiki/Uran_Butka","Albania"
"Refo Çapari","https://en.wikipedia.org/wiki/Refo_Çapari","Albania"
"Neritan Ceka","https://en.wikipedia.org/wiki/Neritan_Ceka","Albania"
"Hysni Curri","https://en.wikipedia.org/wiki/Hysni_Curri","Albania"
"Ibrahim Dalliu","https://en.wikipedia.org/wiki/Ibrahim_Dalliu","Albania"
"Niazi Demi","https://en.wikipedia.org/wiki/Niazi_Demi","Albania"
"Abdurrahman Dibra","https://en.wikipedia.org/wiki/Abdurrahman_Dibra","Albania"
"Bujar Dida","https://en.wikipedia.org/wiki/Bujar_Dida","Albania"
"Ahmed Dino","https://en.wikipedia.org/wiki/Ahmed_Dino","Albania"
"Rasih Dino","https://en.wikipedia.org/wiki/Rasih_Dino","Albania"
"Ferhat Bey Draga","https://en.wikipedia.org/wiki/Ferhat_Bey_Draga","Albania"
"Nexhip Draga","https://en.wikipedia.org/wiki/Nexhip_Draga","Albania"
"Aqif Pasha Elbasani","https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani","Albania"
"Abas Ermenji","https://en.wikipedia.org/wiki/Abas_Ermenji","Albania"
"Qamil Musa Haxhi Feza","https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza","Albania"
"Themistokli Gërmenji","https://en.wikipedia.org/wiki/Themistokli_Gërmenji","Albania"
"Sabri Godo","https://en.wikipedia.org/wiki/Sabri_Godo","Albania"
"Mihal Grameno","https://en.wikipedia.org/wiki/Mihal_Grameno","Albania"
"Aćif Hadžiahmetović","https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović","Albania"
"High Council of Regency","https://en.wikipedia.org/wiki/High_Council_of_Regency","Albania"
"Kurt Agë Kadiu","https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu","Albania"
"Mehmed Kalakula","https://en.wikipedia.org/wiki/Mehmed_Kalakula","Albania"
"Alfred Karamuço","https://en.wikipedia.org/wiki/Alfred_Karamuço","Albania"
"Ibrahim Karbunara","https://en.wikipedia.org/wiki/Ibrahim_Karbunara","Albania"
"Ali Këlcyra","https://en.wikipedia.org/wiki/Ali_Këlcyra","Albania"
"Bajram Kelmendi","https://en.wikipedia.org/wiki/Bajram_Kelmendi","Albania"
"Kristo Kirka","https://en.wikipedia.org/wiki/Kristo_Kirka","Albania"
"Elez Koçi","https://en.wikipedia.org/wiki/Elez_Koçi","Albania"
"Xhelal Koprëncka","https://en.wikipedia.org/wiki/Xhelal_Koprëncka","Albania"
"Kryeziu family","https://en.wikipedia.org/wiki/Kryeziu_family","Albania"
"Artur Kuko","https://en.wikipedia.org/wiki/Artur_Kuko","Albania"
"Xhavid Leskoviku","https://en.wikipedia.org/wiki/Xhavid_Leskoviku","Albania"
"Sabit Lulo","https://en.wikipedia.org/wiki/Sabit_Lulo","Albania"
"Gjon Markagjoni","https://en.wikipedia.org/wiki/Gjon_Markagjoni","Albania"
"Tefik Mborja","https://en.wikipedia.org/wiki/Tefik_Mborja","Albania"
"Hysni Milloshi","https://en.wikipedia.org/wiki/Hysni_Milloshi","Albania"
"Musa Qazimi","https://en.wikipedia.org/wiki/Musa_Qazimi","Albania"
"Mustafa Ndroqi","https://en.wikipedia.org/wiki/Mustafa_Ndroqi","Albania"
"Behxhet Nepravishta","https://en.wikipedia.org/wiki/Behxhet_Nepravishta","Albania"
"Adrian Neritani","https://en.wikipedia.org/wiki/Adrian_Neritani","Albania"
"Sali Nivica","https://en.wikipedia.org/wiki/Sali_Nivica","Albania"
"Thoma Orologa","https://en.wikipedia.org/wiki/Thoma_Orologa","Albania"
"Bedri Pejani","https://en.wikipedia.org/wiki/Bedri_Pejani","Albania"
"Kadri Prishtina","https://en.wikipedia.org/wiki/Kadri_Prishtina","Albania"
"Ymer Prizreni","https://en.wikipedia.org/wiki/Ymer_Prizreni","Albania"
"Avni Rustemi","https://en.wikipedia.org/wiki/Avni_Rustemi","Albania"
"Chatin Sarachi","https://en.wikipedia.org/wiki/Chatin_Sarachi","Albania"
"Nebi Sefa","https://en.wikipedia.org/wiki/Nebi_Sefa","Albania"
"Eduard Shalsi","https://en.wikipedia.org/wiki/Eduard_Shalsi","Albania"
"Ylli Vesel Shehu","https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu","Albania"
"Athanas Shundi","https://en.wikipedia.org/wiki/Athanas_Shundi","Albania"
"Xhelal Sveçla","https://en.wikipedia.org/wiki/Xhelal_Sveçla","Albania"
"Mehmet Tahsini","https://en.wikipedia.org/wiki/Mehmet_Tahsini","Albania"
"Ibrahim Temo","https://en.wikipedia.org/wiki/Ibrahim_Temo","Albania"
"Afrim Tole","https://en.wikipedia.org/wiki/Afrim_Tole","Albania"
"Syreja Vlora","https://en.wikipedia.org/wiki/Syreja_Vlora","Albania"
"Visarion Xhuvani","https://en.wikipedia.org/wiki/Visarion_Xhuvani","Albania"
"Visar Ymeri","https://en.wikipedia.org/wiki/Visar_Ymeri","Albania"
"Abdyl Ypi","https://en.wikipedia.org/wiki/Abdyl_Ypi","Albania"
"Xhezair Zaganjori","https://en.wikipedia.org/wiki/Xhezair_Zaganjori","Albania"
"Menduh Zavalani","https://en.wikipedia.org/wiki/Menduh_Zavalani","Albania"
"Abdelkader Zoukh","https://en.wikipedia.org/wiki/Abdelkader_Zoukh","Algeria"
"Chaâbane Aït Abderrahim","https://en.wikipedia.org/wiki/Chaâbane_Aït_Abderrahim","Algeria"
"Ali Aoun","https://en.wikipedia.org/wiki/Ali_Aoun","Algeria"
"Basma Azouar","https://en.wikipedia.org/wiki/Basma_Azouar","Algeria"
"Mohamed Seghir Babes","https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes","Algeria"
"Noureddine Bahbouh","https://en.wikipedia.org/wiki/Noureddine_Bahbouh","Algeria"
"Lamine Bechichi","https://en.wikipedia.org/wiki/Lamine_Bechichi","Algeria"
"Aïssa Bekkai","https://en.wikipedia.org/wiki/Aïssa_Bekkai","Algeria"
"Abdelhakim Belabed","https://en.wikipedia.org/wiki/Abdelhakim_Belabed","Algeria"
"Mohamed Tarek Belaribi","https://en.wikipedia.org/wiki/Mohamed_Tarek_Belaribi","Algeria"
"Kamel Beldjoud","https://en.wikipedia.org/wiki/Kamel_Beldjoud","Algeria"
"Aboubakr Belkaid","https://en.wikipedia.org/wiki/Aboubakr_Belkaid","Algeria"
"Youcef Belmehdi","https://en.wikipedia.org/wiki/Youcef_Belmehdi","Algeria"
"Mohamed Cherif Belmihoub","https://en.wikipedia.org/wiki/Mohamed_Cherif_Belmihoub","Algeria"
"Mohamed Belouizdad","https://en.wikipedia.org/wiki/Mohamed_Belouizdad","Algeria"
"Benaouda Hadj Hacène Bachterzi","https://en.wikipedia.org/wiki/Benaouda_Hadj_Hacène_Bachterzi","Algeria"
"Souad Bendjaballah","https://en.wikipedia.org/wiki/Souad_Bendjaballah","Algeria"
"Abdelkrim Benmbarek","https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek","Algeria"
"Mohamed Bensalam","https://en.wikipedia.org/wiki/Mohamed_Bensalam","Algeria"
"Fayçal Bentaleb","https://en.wikipedia.org/wiki/Fayçal_Bentaleb","Algeria"
"Ahmed Bidani","https://en.wikipedia.org/wiki/Ahmed_Bidani","Algeria"
"Kamel Bidari","https://en.wikipedia.org/wiki/Kamel_Bidari","Algeria"
"Rachid Bladehane","https://en.wikipedia.org/wiki/Rachid_Bladehane","Algeria"
"Saïd Boualam","https://en.wikipedia.org/wiki/Saïd_Boualam","Algeria"
"Rabah Bouaziz","https://en.wikipedia.org/wiki/Rabah_Bouaziz","Algeria"
"Abdeslam Bouchouareb","https://en.wikipedia.org/wiki/Abdeslam_Bouchouareb","Algeria"
"Ibrahim Boughali","https://en.wikipedia.org/wiki/Ibrahim_Boughali","Algeria"
"Yahia Boukhari","https://en.wikipedia.org/wiki/Yahia_Boukhari","Algeria"
"Mohamed Bouslimani","https://en.wikipedia.org/wiki/Mohamed_Bouslimani","Algeria"
"Foued Chehat","https://en.wikipedia.org/wiki/Foued_Chehat","Algeria"
"Hamza Al Sid Cheikh","https://en.wikipedia.org/wiki/Hamza_Al_Sid_Cheikh","Algeria"
"Hocine Cherhabil","https://en.wikipedia.org/wiki/Hocine_Cherhabil","Algeria"
"Abderrahmane Meziane Chérif","https://en.wikipedia.org/wiki/Abderrahmane_Meziane_Chérif","Algeria"
"Saïd Chibane","https://en.wikipedia.org/wiki/Saïd_Chibane","Algeria"
"Brahim Chibout","https://en.wikipedia.org/wiki/Brahim_Chibout","Algeria"
"Youcef Chorfa","https://en.wikipedia.org/wiki/Youcef_Chorfa","Algeria"
"Fazia Dahleb","https://en.wikipedia.org/wiki/Fazia_Dahleb","Algeria"
"Taha Derbal","https://en.wikipedia.org/wiki/Taha_Derbal","Algeria"
"Nassim Diafat","https://en.wikipedia.org/wiki/Nassim_Diafat","Algeria"
"Mokhtar Didouche","https://en.wikipedia.org/wiki/Mokhtar_Didouche","Algeria"
"Bouras Djamel","https://en.wikipedia.org/wiki/Bouras_Djamel","Algeria"
"Fatiha Serour","https://en.wikipedia.org/wiki/Fatiha_Serour","Algeria"
"Ahmed Hamiani","https://en.wikipedia.org/wiki/Ahmed_Hamiani","Algeria"
"Nadir Kassab","https://en.wikipedia.org/wiki/Nadir_Kassab","Algeria"
"Brahim Djamel Kassali","https://en.wikipedia.org/wiki/Brahim_Djamel_Kassali","Algeria"
"Kaoutar Krikou","https://en.wikipedia.org/wiki/Kaoutar_Krikou","Algeria"
"Sassi Lamouri","https://en.wikipedia.org/wiki/Sassi_Lamouri","Algeria"
"Mohamed Maghlaoui","https://en.wikipedia.org/wiki/Mohamed_Maghlaoui","Algeria"
"Amar Makhloufi","https://en.wikipedia.org/wiki/Amar_Makhloufi","Algeria"
"Yassine Merabi","https://en.wikipedia.org/wiki/Yassine_Merabi","Algeria"
"Brahim Merad","https://en.wikipedia.org/wiki/Brahim_Merad","Algeria"
"Bachir Messaitfa","https://en.wikipedia.org/wiki/Bachir_Messaitfa","Algeria"
"Azzedine Mihoubi","https://en.wikipedia.org/wiki/Azzedine_Mihoubi","Algeria"
"Mohamed Ali Boughazi","https://en.wikipedia.org/wiki/Mohamed_Ali_Boughazi","Algeria"
"Amar Mohammedi","https://en.wikipedia.org/wiki/Amar_Mohammedi","Algeria"
"Samia Moualfi","https://en.wikipedia.org/wiki/Samia_Moualfi","Algeria"
"Soraya Mouloudji","https://en.wikipedia.org/wiki/Soraya_Mouloudji","Algeria"
"Yacine Oualid","https://en.wikipedia.org/wiki/Yacine_Oualid","Algeria"
"Cherif Rahmani","https://en.wikipedia.org/wiki/Cherif_Rahmani","Algeria"
"Lakhdar Rakhroukh","https://en.wikipedia.org/wiki/Lakhdar_Rakhroukh","Algeria"
"Laid Rebiga","https://en.wikipedia.org/wiki/Laid_Rebiga","Algeria"
"Kamel Rezig","https://en.wikipedia.org/wiki/Kamel_Rezig","Algeria"
"Salim Saadi","https://en.wikipedia.org/wiki/Salim_Saadi","Algeria"
"Abdelhak Saihi","https://en.wikipedia.org/wiki/Abdelhak_Saihi","Algeria"
"Hichem Sofiane Salaouatchi","https://en.wikipedia.org/wiki/Hichem_Sofiane_Salaouatchi","Algeria"
"Naima Salhi","https://en.wikipedia.org/wiki/Naima_Salhi","Algeria"
"Abderezak Sebgag","https://en.wikipedia.org/wiki/Abderezak_Sebgag","Algeria"
"Abderrachid Tabbi","https://en.wikipedia.org/wiki/Abderrachid_Tabbi","Algeria"
"Karim Bibi Triki","https://en.wikipedia.org/wiki/Karim_Bibi_Triki","Algeria"
"Layachi Yaker","https://en.wikipedia.org/wiki/Layachi_Yaker","Algeria"
"Ahmed Zeghdar","https://en.wikipedia.org/wiki/Ahmed_Zeghdar","Algeria"
"Adão Francisco Correia de Almeida","https://en.wikipedia.org/wiki/Adão_Francisco_Correia_de_Almeida","Angola"
"Ana Paula Chantre Luna de Carvalho","https://en.wikipedia.org/wiki/Ana_Paula_Chantre_Luna_de_Carvalho","Angola"
"Alexandre Sebastião André","https://en.wikipedia.org/wiki/Alexandre_Sebastião_André","Angola"
"Paulino Baptista","https://en.wikipedia.org/wiki/Paulino_Baptista","Angola"
"Bernarda Gonçalves Martins","https://en.wikipedia.org/wiki/Bernarda_Gonçalves_Martins","Angola"
"João Baptista Borges","https://en.wikipedia.org/wiki/João_Baptista_Borges","Angola"
"Carolina Cerqueira","https://en.wikipedia.org/wiki/Carolina_Cerqueira","Angola"
"Arlete Chimbinda","https://en.wikipedia.org/wiki/Arlete_Chimbinda","Angola"
"Kafundanga Chingunji","https://en.wikipedia.org/wiki/Kafundanga_Chingunji","Angola"
"Jeremias Chitunda","https://en.wikipedia.org/wiki/Jeremias_Chitunda","Angola"
"Abel Chivukuvuku","https://en.wikipedia.org/wiki/Abel_Chivukuvuku","Angola"
"Fiel Domingos Constantino","https://en.wikipedia.org/wiki/Fiel_Domingos_Constantino","Angola"
"Adalberto Costa Júnior","https://en.wikipedia.org/wiki/Adalberto_Costa_Júnior","Angola"
"Adjany Costa","https://en.wikipedia.org/wiki/Adjany_Costa","Angola"
"Álvaro Arnaldo Craveiro","https://en.wikipedia.org/wiki/Álvaro_Arnaldo_Craveiro","Angola"
"Raul Danda","https://en.wikipedia.org/wiki/Raul_Danda","Angola"
"Diamantino Pedro Azevedo","https://en.wikipedia.org/wiki/Diamantino_Pedro_Azevedo","Angola"
"Faustina Fernandes Inglês de Almeida Alves","https://en.wikipedia.org/wiki/Faustina_Fernandes_Inglês_de_Almeida_Alves","Angola"
"Abraão Gourgel","https://en.wikipedia.org/wiki/Abraão_Gourgel","Angola"
"Jofre Van-Dúnem Júnior","https://en.wikipedia.org/wiki/Jofre_Van-Dúnem_Júnior","Angola"
"José Carvalho da Rocha","https://en.wikipedia.org/wiki/José_Carvalho_da_Rocha","Angola"
"José Luis de Matos","https://en.wikipedia.org/wiki/José_Luis_de_Matos","Angola"
"Kambamba Kulaxingo","https://en.wikipedia.org/wiki/Kambamba_Kulaxingo","Angola"
"Jesus Faria Maiato","https://en.wikipedia.org/wiki/Jesus_Faria_Maiato","Angola"
"Manuel Neto da Costa","https://en.wikipedia.org/wiki/Manuel_Neto_da_Costa","Angola"
"Manuel Tavares de Almeida","https://en.wikipedia.org/wiki/Manuel_Tavares_de_Almeida","Angola"
"Marcos Alexandre Nhunga","https://en.wikipedia.org/wiki/Marcos_Alexandre_Nhunga","Angola"
"Maria Cândida Pereira Teixeira","https://en.wikipedia.org/wiki/Maria_Cândida_Pereira_Teixeira","Angola"
"Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo","https://en.wikipedia.org/wiki/Maria_do_Rosário_Teixeira_de_Alva_Sequeira_Bragança_Sambo","Angola"
"David Mendes","https://en.wikipedia.org/wiki/David_Mendes","Angola"
"Saíde Mingas","https://en.wikipedia.org/wiki/Saíde_Mingas","Angola"
"Fernando Faustino Muteka","https://en.wikipedia.org/wiki/Fernando_Faustino_Muteka","Angola"
"Pedro Mutinde","https://en.wikipedia.org/wiki/Pedro_Mutinde","Angola"
"José Ndele","https://en.wikipedia.org/wiki/José_Ndele","Angola"
"Ana Paula Sacramento Neto","https://en.wikipedia.org/wiki/Ana_Paula_Sacramento_Neto","Angola"
"Daniel Ntongi-Nzinga","https://en.wikipedia.org/wiki/Daniel_Ntongi-Nzinga","Angola"
"Paula Cristina Francisco Coelho","https://en.wikipedia.org/wiki/Paula_Cristina_Francisco_Coelho","Angola"
"Pedro Pedalé","https://en.wikipedia.org/wiki/Pedro_Pedalé","Angola"
"Elias Salupeto Pena","https://en.wikipedia.org/wiki/Elias_Salupeto_Pena","Angola"
"Johnny Eduardo Pinnock","https://en.wikipedia.org/wiki/Johnny_Eduardo_Pinnock","Angola"
"Santana André Pitra","https://en.wikipedia.org/wiki/Santana_André_Pitra","Angola"
"Francisco Manuel Monteiro de Queiróz","https://en.wikipedia.org/wiki/Francisco_Manuel_Monteiro_de_Queiróz","Angola"
"José Aníbal Lopes Rocha","https://en.wikipedia.org/wiki/José_Aníbal_Lopes_Rocha","Angola"
"José da Rocha","https://en.wikipedia.org/wiki/José_da_Rocha","Angola"
"Rosa Luís de Sousa Micolo","https://en.wikipedia.org/wiki/Rosa_Luís_de_Sousa_Micolo","Angola"
"Luís Gomes Sambo","https://en.wikipedia.org/wiki/Luís_Gomes_Sambo","Angola"
"Branca Manuel Espirito Santo","https://en.wikipedia.org/wiki/Branca_Manuel_Espirito_Santo","Angola"
"João Ernesto dos Santos","https://en.wikipedia.org/wiki/João_Ernesto_dos_Santos","Angola"
"José Filomeno dos Santos","https://en.wikipedia.org/wiki/José_Filomeno_dos_Santos","Angola"
"Jonas Savimbi","https://en.wikipedia.org/wiki/Jonas_Savimbi","Angola"
"Pinda Simão","https://en.wikipedia.org/wiki/Pinda_Simão","Angola"
"Manuel Bernardo de Sousa","https://en.wikipedia.org/wiki/Manuel_Bernardo_de_Sousa","Angola"
"Augusto da Silva Tomás","https://en.wikipedia.org/wiki/Augusto_da_Silva_Tomás","Angola"
"José Jacinto Van-Dúnem","https://en.wikipedia.org/wiki/José_Jacinto_Van-Dúnem","Angola"
"José Vieira Dias Van-Dúnem","https://en.wikipedia.org/wiki/José_Vieira_Dias_Van-Dúnem","Angola"
"Luzia Inglês Van-Dúnem","https://en.wikipedia.org/wiki/Luzia_Inglês_Van-Dúnem","Angola"
"Manuel Vicente","https://en.wikipedia.org/wiki/Manuel_Vicente","Angola"
"Mfulupinga Nlando Victor","https://en.wikipedia.org/wiki/Mfulupinga_Nlando_Victor","Angola"
"Clement Antonio","https://en.wikipedia.org/wiki/Clement_Antonio","Antigua and Barbuda"
"Randolph Beazer","https://en.wikipedia.org/wiki/Randolph_Beazer","Antigua and Barbuda"
"Studiation Brown","https://en.wikipedia.org/wiki/Studiation_Brown","Antigua and Barbuda"
"Alex Browne (politician)","https://en.wikipedia.org/wiki/Alex_Browne_(politician)","Antigua and Barbuda"
"Colin O'Neil Browne","https://en.wikipedia.org/wiki/Colin_O'Neil_Browne","Antigua and Barbuda"
"James Carlisle","https://en.wikipedia.org/wiki/James_Carlisle","Antigua and Barbuda"
